-e	-e	Rq-y
-es	-es	X
-esen	-esen	X
-os	-os	X
-osan	-osan	X
-ös	-ös	X
-ösen	-ösen	X
1.	1.	Mo-snd
12.	12.	Mo-snd
14.	14.	Mo-snd
17-i	17-i	Afp-sn
17.	17.	Mo-snd
19-i	19-i	Afp-sn
19.	19.	Mo-snd
1900-tól	1900	Mc-sbd
1914	1914	Mc-snd
1920	1920	Mc-snd
1925-ben	1925	Mc-s2d
1930	1930	Mc-snd
1930-ben	1930	Mc-s2d
1940	1940	Mc-snd
1944-ben	1944	Mc-s2d
1945-ben	1945	Mc-s2d
1960	1960	Mc-snd
1965-ben	1965	Mc-s2d
1968	1968	Mc-snd
1970-re	1970	Mc-ssd
1973-ben	1973	Mc-s2d
1983	1983	Mc-snd
1983.	1983.	Mo-snd
1984	1984	Mc-snd
1984-ben	1984	Mc-s2d
1984.	1984.	Mo-snd
2+2=5	2+2=5	X
2.	2.	Mo-snd
2050	2050	Mc-snd
2050-ig	2050	Mc-s9d
2050-re	2050	Mc-ssd
2050-től	2050	Mc-sbd
2713	2713	Mc-snd
3-i	3-i	Afp-sn
3.	3.	Mo-snd
4.	4.	Mo-snd
6079	6079	Mc-snd
83	83	Mc-snd
83.	83.	Mo-snd
84.	84.	Mo-snd
AIDS	AIDS	Nc-sn
AIDS-fertőzött	AIDS-fertőzött	Afp-sn
AIDS-hez	AIDS	Nc-st
APEH	APEH	Nc-sn
APEH-nál	APEH	Nc-s3
APEH-tartozását	APEH-tartozás	Nc-sa---s3
Aaronson	Aaronson	Nc-sn
Aaronsonnak	Aaronson	Nc-sd
Aaronsont	Aaronson	Nc-sa
Abbáziában	Abbázia	Np-s2
Achilles-sarka	Achilles-sarka	Np-sn---s3
Ady	Ady	Np-sn
Adyn	Ady	Np-sp
Adyt	Ady	Np-sa
Afrika	Afrika	Np-sn
Afrikában	Afrika	Np-s2
Afrikája	Afrika	Np-sn---s3
Afrikát	Afrika	Np-sa
Agárdi	Agárdi	Afp-sn
Ajka	Ajka	Np-sn
Ajkán	Ajka	Np-sp
Aladár	Aladár	Np-sn
Aladárét	Aladár	Np-sa-----s
Alatta	alatt	St
Alattunk	alatt	St
Albert	Albert	Np-sn
Albertet	Albert	Np-sa
Algéria	Algéria	Np-sn
Algéria-Burkina	Algéria-Burkina	Np-sn
Alija	Ali	Np-sn---s3
Allah	Allah	Np-sn
Almádi	Almádi	Afp-sn
Amanda	Amanda	Np-sn
Ambrus	Ambrus	Np-sn
Amerika	Amerika	Np-sn
Amerika-barátnak	Amerika-barát	Np-sd
Amerikai	Amerikai	Afp-sn
Amerikába	Amerika	Np-sx
Amerikából	Amerika	Np-se
Amerikát	Amerika	Np-sa
Amerikával	Amerika	Np-si
Amershambe	Amersham	Nc-sx
Ampleforth	Ampleforth	Nc-sn
Ampleforthot	Ampleforth	Nc-sa
Ampleforthra	Ampleforth	Nc-ss
Amplefortht	Ampleforth	Nc-sa
Amsterdam	Amsterdam	Np-sn
Amál	Amál	Np-sn
Amállal	Amál	Np-si
Amálnak	Amál	Np-sd
Amálról	Amál	Np-sh
Amált	Amál	Np-sa
Andort	Andor	Np-sa
Andrea	Andrea	Np-sn
András	András	Np-sn
Angeles	Angeles	Np-sn
Angeles-i	Angeles-i	Afp-sn
Angelesben	Angeles	Np-s2
Anglia	Anglia	Np-sn
Angliába	Anglia	Np-sx
Angliának	Anglia	Np-sd
Angola	Angola	Np-sn
Angolával	Angola	Np-si
Angszoc	Angszoc	Nc-sn
Angszocban	Angszoc	Nc-s2
Angszocnak	Angszoc	Nc-sd
Angszoct	Angszoc	Nc-sa
Angyalföld	Angyalföld	Np-sn
Angyalföldön	Angyalföld	Np-sp
Anikó	Anikó	Np-sn
Ankara	Ankara	Np-sn
Ankarában	Ankara	Np-s2
Anna	Anna	Np-sn
Annamária	Annamária	Np-sn
Annától	Anna	Np-sb
Antal	Antal	Np-sn
Antall	Antall	Np-sn
Antall-kormánynak	Antall-kormány	Np-sd
Antalt	Antal	Np-sa
Antarktisz	Antarktisz	Np-sn
Antónia	Antónia	Np-sn
Aradon	Arad	Np-sp
Arany	Arany	Np-sn
Argentína	Argentína	Np-sn
Argentínában	Argentína	Np-s2
Arizonától	Arizona	Np-sb
Arnold	Arnold	Np-sn
Arnold-riposzt	Arnold-riposzt	Np-sn
Astaróthnak	Astaróth	Nc-sd
Astoria	Astoria	Np-sn
Athén	Athén	Np-sn
Athénban	Athén	Np-s2
Atlantai	Atlantai	Afp-sn
Atlanti-óceán	Atlanti-óceán	Np-sn
Attila	Attila	Np-sn
Attilát	Attila	Np-sa
Auróra	Auróra	Np-sn
Ausztria	Ausztria	Np-sn
Ausztriában	Ausztria	Np-s2
Ausztriából	Ausztria	Np-se
Ausztriának	Ausztria	Np-sd
Ausztriát	Ausztria	Np-sa
Ausztrália	Ausztrália	Np-sn
Ausztráliában	Ausztrália	Np-s2
Ausztrálázsiát	Ausztrálázsia	Np-sa
Avenue-	Avenue	Nc-sn
Avenue-n	Avenue	Nc-sp
Azerbajdzsánban	Azerbajdzsán	Np-s2
B	B	Nc-sn
B.	B.	Y
BEK	BEK	Nc-sn
BEK-győztes	BEK-győztes	Nc-sn
BKV	BKV	Nc-sn
BMW	BMW	Nc-sn
BMW-ből	BMW	Nc-se
Bach	Bach	Np-sn
Bach-versenymű	Bach-versenymű	Nc-sn
Bachot	Bach	Np-sa
Bailey	Bailey	Nc-sn
Baja	Baja	Np-sn
Bajcsy	Bajcsy	Np-sn
Baján	Baja	Np-sp
Bakonyi	Bakonyi	Afp-sn
Baku	Baku	Np-sn
Balaton	Balaton	Np-sn
Balatontól	Balaton	Np-sb
Balogh	Balogh	Np-sn
Balti-tenger	Balti-tenger	Np-sn
Balázs	Balázs	Np-sn
Balázstól	Balázs	Np-sb
Bandi	Bandi	Np-sn
Bandit	Bandi	Np-sa
Barabás	Barabás	Np-sn
Barbara	Barbara	Np-sn
Barnabás	Barnabás	Np-sn
Baross	Baross	Np-sn
Bartók	Bartók	Np-sn
Bartók-emlékév	Bartók-emlékév	Nc-sn
Bartók-szemináriumoknak	Bartók-szeminárium	Nc-pd
Bartókkal	Bartók	Np-si
Baálnak	Baál	Nc-sd
Beethovent	Beethoven	Np-sa
Bejrút	Bejrút	Np-sn
Belgiumba	Belgium	Np-sx
Belgiumban	Belgium	Np-s2
Belgrád	Belgrád	Np-sn
Belgrádba	Belgrád	Np-sx
Belgrádban	Belgrád	Np-s2
Belgrádi	Belgrádi	Afp-sn
Belgrádot	Belgrád	Np-sa
Belvárosban	Belváros	Np-s2
Bem	Bem	Np-sn
Benne	ő	Pp3-s2
Bercsényi	Bercsényi	Afp-sn
Bercsényi	Bercsényi	Np-sn
Berettyó	Berettyó	Np-sn
Berettyóújfalu	Berettyóújfalu	Np-sn
Bering-szorosig	Bering-szoros	Nc-s9
Berkhamstedbe	Berkhamsted	Nc-sx
Berlin	Berlin	Np-sn
Bermuda	Bermuda	Np-sn
Berni	Berni	Afp-sn
Bernát	Bernát	Np-sn
Bernátnak	Bernát	Np-sd
Bethlen	Bethlen	Np-sn
Bibliai	Bibliai	Afp-sn
Bihari	Bihari	Afp-sn
Bocskai-sapkás	Bocskai-sapkás	Afp-sn
Bodrogon	Bodrog	Np-sp
Bogdán	Bogdán	Np-sn
Boldizsár	Boldizsár	Np-sn
Bonn	Bonn	Np-sn
Bonnt	Bonn	Np-sa
Boris	Boris	Afp-sn
Borisz	Borisz	Np-sn
Borsod	Borsod	Np-sn
Borsod-Abaúj-Zemplén	Borsod-Abaúj-Zemplén	Np-sn
Borsod-Abaúj-Zemplénben	Borsod-Abaúj-Zemplén	Np-s2
Borsodban	Borsod	Np-s2
Borsodi	Borsodi	Afp-sn
Boston	Boston	Np-sn
Bostonban	Boston	Np-s2
Bosznia	Bosznia	Np-sn
Bosznia-Hercegovina	Bosznia-Hercegovina	Np-sn
Boszniába	Bosznia	Np-sx
Boszniában	Bosznia	Np-s2
Boszniából	Bosznia	Np-se
Boszniának	Bosznia	Np-sd
Bottyán	Bottyán	Np-sn
Bp.	Bp.	Y
Brahmsot	Brahms	Np-sa
Brassó	Brassó	Np-sn
Brassó-Nagyváradi	Brassó-Nagyváradi	Afp-sn
Brassóba	Brassó	Np-sx
Brassóban	Brassó	Np-s2
Brassóig	Brassó	Np-s9
Brassóra	Brassó	Np-ss
Brazzaville	Brazzaville	Nc-sn
Brazíliában	Brazília	Np-s2
British	British	Np-sn
Broadway	Broadway	Np-sn
Brüsszelben	Brüsszel	Np-s2
Budai	Budai	Afp-sn
Budapest	Budapest	Np-sn
Budapesten	Budapest	Np-sp
Budapestet	Budapest	Np-sa
Budapesti	Budapesti	Afp-sn
Budapestre	Budapest	Np-ss
Budapesttel	Budapest	Np-si
Budán	Buda	Np-sp
Bukarest	Bukarest	Np-sn
Bukarestbe	Bukarest	Np-sx
Bukarestben	Bukarest	Np-s2
Bukarestig	Bukarest	Np-s9
Bukarestnek	Bukarest	Np-sd
Bumstead	Bumstead	Nc-sn
Burkina	Burkina	Np-sn
Byron	Byron	Np-sn
Bács-Kiskun	Bács-Kiskun	Np-sn
Bálint	Bálint	Np-sn
Bálinttal	Bálint	Np-si
Bécs	Bécs	Np-sn
Bécsbe	Bécs	Np-sx
Bécsben	Bécs	Np-s2
Bécsi	Bécsi	Afp-sn
Békásmegyert	Békásmegyer	Np-sa
Békés	Békés	Np-sn
Békésben	Békés	Np-s2
Békéscsaba	Békéscsaba	Np-sn
Békéscsabára	Békéscsaba	Np-ss
Béla	Béla	Np-sn
Bélának	Béla	Np-sd
Bélára	Béla	Np-ss
Bélát	Béla	Np-sa
Bélával	Béla	Np-si
Béni	Béni	Np-sn
Béninek	Béni	Np-sd
Bözsitől	Bözsi	Np-sb
Bükk	Bükk	Np-sn
C	C	Y
CD	CD	Nc-sn
CD	CD	Y
CD-ről	CD	Nc-sh
CD-szaküzlet	CD-szaküzlet	Nc-sn
Caesar	Caesar	Np-sn
Cannes-i	Cannes	Np-pn---s3
Cannes-i	Cannes-i	Afp-sn
Ceylon	Ceylon	Np-sn
Charles	Charles	Np-sn
Charrington	Charrington	Nc-sn
Charringtonnal	Charrington	Nc-si
Charringtont	Charrington	Nc-sa
Charringtontól	Charringtontól	Nc-sn
Chaucer	Chaucer	Nc-sn
Clark	Clark	Np-sn
Clement	Clement	Nc-sn
Clinton	Clinton	Np-sn
Clintont	Clinton	Np-sa
Colchesterre	Colchester	Nc-sn
Columbia	Columbia	Np-sn
Corvin	Corvin	Np-sn
Cromwell	Cromwell	Nc-sn
Csaba	Csaba	Np-sn
Csabai	Csabai	Afp-sn
Csabák	Csaba	Np-pn
Csabától	Csaba	Np-sb
Csehország	Csehország	Np-sn
Csehországba	Csehország	Np-sx
Csehországról	Csehország	Np-sh
Csehszlovákiába	Csehszlovákia	Np-sx
Csendes-óceán	Csendes-óceán	Np-sn
Csepelig	Csepel	Np-s9
Csilla	Csilla	Np-sn
Csongrád	Csongrád	Np-sn
Csáki	Csáki	Afp-sn
D	D	Y
D.	D.	Y
Daewoo	Daewoo	Np-sn
Danes	Danes	Nc-sn
Danest	Danest	Nc-sn
Danubius	Danubius	Np-sn
Darwin	Darwin	Np-sn
Davis	Davis	Np-sn
Debrecen	Debrecen	Np-sn
Debrecenbe	Debrecen	Np-sx
Debrecenben	Debrecen	Np-s2
Debreceni	Debreceni	Afp-sn
Debrecennek	Debrecen	Np-sd
Demeter	Demeter	Np-sn
Demszky	Demszky	Np-sn
Dezső	Dezső	Np-sn
Dezsőn	Dezső	Np-sp
Dezsőnél	Dezső	Np-s3
Dezsőt	Dezső	Np-sa
Dezsővel	Dezső	Np-si
Diana	Diana	Np-sn
Dickens	Dickens	Np-sn
Domokos	Domokos	Np-sn
Don	Don	Np-sn
Donatella	Donatella	Np-sn
Dosztojevszkij	Dosztojevszkij	Np-sn
Dresdner	Dresdner	Np-sn
Dugonics	Dugonics	Np-sn
Duna	Duna	Nc-sn
Duna-kiöntésében	Duna-kiöntés	Nc-s2-----s
Duna-kiöntésében	Duna-kiöntés	Nc-s2---s3
Duna-kiöntésében	Duna-kiöntésében	Nc-sn
Duna-közi	Duna-közi	Afp-sn
Duna-parti	Duna-parti	Afp-sn
Duna-parti	Duna-parti	Nc-sn
Duna-tüntetést	Duna-tüntetés	Nc-sa
Dunai	Dunai	Afp-sn
Dunakeszi	Dunakeszi	Afp-sn
Dunáig	Duna	Np-s9
Dunántúl	Dunántúl	Np-sn
Dunántúlon	Dunántúl	Np-sp
Dunántúlról	Dunántúl	Np-sh
Dániában	Dánia	Np-s2
Dél-Afrika	Dél-Afrika	Np-sn
Dél-Afrikai	Dél-Afrikai	Afp-sn
Dél-Amerika	Dél-Amerika	Np-sn
Dél-Koreával	Dél-Korea	Np-si
Dél-dunántúli	Dél-dunántúli	Afp-sn
Dénes	Dénes	Np-sn
E	E	Y
ECU	ECU	Nc-sn
ECU-re	ECU-re	Nc-sn
ECU-s	ECU-s	Afc-sn
ENSZ	ENSZ	Np-sn
ENSZ-közgyűlés	ENSZ-közgyűlés	Nc-sn
ENSZ-tagállam	ENSZ-tagállam	Nc-sn
Edit	Edit	Np-sn
Egyiptom	Egyiptom	Np-sn
Eiffel-tornyot	Eiffel-torony	Np-sa
Elefántcsontpart-Tunézia	Elefántcsontpart-Tunézia	Nc-sn
Elek	Elek	Np-sn
Elemér	Elemér	Np-sn
Eleonóra	Eleonóra	Np-sn
Ella	Ella	Np-sn
Előttük	előtt	St
Előttünk	előtt	St
Emil	Emil	Np-sn
Emmanuel	Emmanuel	Nc-sn
Endre	Endre	Np-sn
Ercsiből	Ercsi	Afp-se
Erdély	Erdély	Np-sn
Erdélybe	Erdély	Np-sx
Erdélyben	Erdély	Np-s2
Erdélyből	Erdély	Np-se
Ernő	Ernő	Np-sn
Ernőt	Ernő	Np-sa
Ervin	Ervin	Np-sn
Erzsébet	Erzsébet	Np-sn
Erzsébetváros	Erzsébetváros	Np-sn
Esterházyval	Esterházy	Np-si
Eszter	Eszter	Np-sn
Eszterben	Eszter	Np-s2
Eszterke	Eszterke	Np-sn
Eszternek	Eszter	Np-sd
Eszterre	Eszter	Np-ss
Eszterrel	Eszter	Np-si
Esztert	Eszter	Np-sa
Esztertől	Eszter	Np-sb
Eszti	Eszti	Np-sn
Esztivel	Eszti	Np-si
Etelkával	Etelka	Np-si
Eurázsia	Eurázsia	Np-sn
Eurázsiai	Eurázsiai	Afp-sn
Eurázsiában	Eurázsia	Np-s2
Eurázsiára	Eurázsia	Np-ss
Eurázsiát	Eurázsia	Np-sa
Eurázsiával	Eurázsia	Np-si
Európa	Európa	Np-sn
Európa-bajnok	Európa-bajnok	Nc-sn
Európa-bajnokságon	Európa-bajnokság	Nc-sp
Európa-bajnokságra	Európa-bajnokság	Nc-ss
Európai	Európai	Afp-sn
Európába	Európa	Np-sx
Európában	Európa	Np-s2
Európából	Európa	Np-se
Európához	Európa	Np-st
Európának	Európa	Np-sd
Eötvös	Eötvös	Np-sn
Eötvös-kollégista	Eötvös-kollégista	Nc-sn
FTC	FTC	Np-sn
Farkasréti	Farkasréti	Afp-sn
Faso	Faso	Np-sn
Fasót	Faso	Np-sa
Fejér	Fejér	Np-sn
Ferenc	Ferenc	Np-sn
Ferenc-emlékéremmel	Ferenc-emlékérem	Nc-si
Ferencnek	Ferenc	Np-sd
Ferencre	Ferenc	Np-ss
Ferencváros	Ferencváros	Np-sn
Ferencvárosban	Ferencváros	Np-s2
Feröer-szigetek	Feröer-szigetek	Nc-sn
Festetics-kastélyban	Festetics-kastély	Np-s2
Fidesszel	Fidesz	Np-si
Fidesz	Fidesz	Np-sn
Fidesznek	Fidesz	Np-sd
Fideszt	Fidesz	Np-sa
Financial	Financial	Np-sn
Firenze	Firenze	Np-sn
Ford	Ford	Np-sn
Franciaország	Franciaország	Np-sn
Franciaországban	Franciaország	Np-s2
Franciaországgal	Franciaország	Np-si
Franciaországnak	Franciaország	Np-sd
Freud	Freud	Np-sn
Ft-on	Ft	Y
Ft/négyzetméter	Ft	Y
Fábián	Fábián	Np-sn
Fábiánhoz	Fábián	Np-st
